"region","subregion","count"
"kansas","barton",17966
"kansas","bourbon",8045
"kansas","brown",5996
"kansas","butler",31084
"kansas","chase",1020
"kansas","chautauqua",2169
"kansas","cherokee",7409
"kansas","cheyenne",892
"kansas","clark",1528
"kansas","clay",3833
"kansas","cloud",7545
"kansas","coffey",71265
"kansas","comanche",892
"kansas","cowley",23565
"kansas","crawford",39677
"kansas","decatur",286
"kansas","dickinson",6261
"kansas","doniphan",9355
"kansas","douglas",283027
"kansas","edwards",765
"kansas","elk",2042
"kansas","ellis",42390
"kansas","ellsworth",6000
"kansas","finney",19132
"kansas","ford",55658
"kansas","franklin",19311
"kansas","geary",25281
"kansas","gove",381
"kansas","graham",1276
"kansas","grant",15218
"kansas","gray",3956
"kansas","greeley",892
"kansas","greenwood",3765
"kansas","hamilton",1277
"kansas","harper",3308
"kansas","harvey",27746
"kansas","haskell",2415
"kansas","hodgeman",1147
"kansas","jackson",12124
"kansas","jefferson",5606
"kansas","jewell",891
"kansas","johnson",1067354
"kansas","kearny",1148
"kansas","kingman",3944
"kansas","kiowa",11253
"kansas","labette",10263
"kansas","lane",1912
"kansas","leavenworth",90329
"kansas","lincoln",134
"kansas","linn",4727
"kansas","logan",1858
"kansas","lyon",27123
"kansas","marion",7399
"kansas","marshall",6894
"kansas","mcpherson",23272
"kansas","meade",1658
"kansas","miami",30957
"kansas","mitchell",14329
"kansas","montgomery",15952
"kansas","morris",15217
"kansas","morton",6650
"kansas","nemaha",7140
"kansas","neosho",9404
"kansas","ness",1399
"kansas","norton",5099
"kansas","osage",8433
"kansas","osborne",2039
"kansas","ottawa",7314
"kansas","pawnee",897
"kansas","phillips",2802
"kansas","pottawatomie",17245
"kansas","pratt",5493
"kansas","rawlins",1029
"kansas","reno",30941
"kansas","republic",3829
"kansas","rice",2838
"kansas","riley",197834
"kansas","rooks",2039
"kansas","rush",765
"kansas","russell",6777
"kansas","saline",50490
"kansas","scott",2553
"kansas","sedgwick",963398
"kansas","seward",11546
"kansas","shawnee",204597
"kansas","sheridan",1019
"kansas","sherman",4018
"kansas","smith",1401
"kansas","stafford",573
"kansas","stanton",1019
"kansas","stevens",3446
"kansas","sumner",24448
"kansas","thomas",21738
"kansas","trego",2086
"kansas","wabaunsee",2243
"kansas","wallace",764
"kansas","washington",1785
"kansas","wichita",1402
"kansas","wilson",3733
"kansas","woodson",382
"kansas","wyandotte",207083
"kentucky","adair",14303
"kentucky","allen",5609
"kentucky","anderson",10148
"kentucky","ballard",9599
"kentucky","barren",33232
"kentucky","bath",2166
"kentucky","bell",7935
"kentucky","boone",89077
"kentucky","bourbon",6667
"kentucky","boyd",44665
"kentucky","boyle",20351
"kentucky","bracken",3430
"kentucky","breathitt",1786
"kentucky","breckinridge",6019
"kentucky","bullitt",46231
"kentucky","butler",3283
"kentucky","caldwell",7936
"kentucky","calloway",40744
"kentucky","campbell",42066
"kentucky","carlisle",1911
"kentucky","carroll",4006
"kentucky","carter",18633
"kentucky","casey",3567
"kentucky","christian",59585
"kentucky","clark",28121
"kentucky","clay",15806
"kentucky","clinton",2808
"kentucky","crittenden",4724
"kentucky","cumberland",3575
"kentucky","daviess",90383
"kentucky","edmonson",3564
"kentucky","elliott",1149
"kentucky","estill",7567
"kentucky","fayette",750333
"kentucky","fleming",3946
"kentucky","floyd",15690
"kentucky","franklin",444513
"kentucky","fulton",1021
"kentucky","gallatin",1304
"kentucky","garrard",4585
"kentucky","grant",6972
"kentucky","graves",32381
"kentucky","grayson",14662
"kentucky","green",5481
"kentucky","greenup",13116
"kentucky","hancock",2904
"kentucky","hardin",99827
"kentucky","harlan",16430
"kentucky","harrison",12945
"kentucky","hart",8162
"kentucky","henderson",24632
"kentucky","henry",2913
"kentucky","hickman",780
"kentucky","hopkins",47037
"kentucky","jackson",9183
"kentucky","jefferson",1254075
"kentucky","jessamine",59347
"kentucky","johnson",12749
"kentucky","kenton",163576
"kentucky","knott",28728
"kentucky","knox",8678
"kentucky","larue",6381
"kentucky","laurel",35109
"kentucky","lawrence",9048
"kentucky","lee",3067
"kentucky","leslie",5991
"kentucky","letcher",7876
"kentucky","lewis",6233
"kentucky","lincoln",14684
"kentucky","livingston",5108
"kentucky","logan",14190
"kentucky","lyon",9991
"kentucky","madison",141477
"kentucky","magoffin",6616
"kentucky","marion",9430
"kentucky","marshall",16605
"kentucky","martin",3686
"kentucky","mason",11127
"kentucky","mccracken",62852
"kentucky","mccreary",5101
"kentucky","mclean",3065
"kentucky","meade",23424
"kentucky","menifee",2296
"kentucky","mercer",8848
"kentucky","metcalfe",5612
"kentucky","monroe",4205
"kentucky","montgomery",19600
"kentucky","morgan",10084
"kentucky","muhlenberg",14665
"kentucky","nelson",24534
"kentucky","nicholas",1533
"kentucky","ohio",4536
"kentucky","oldham",59232
"kentucky","owen",4261
"kentucky","pendleton",3531
"kentucky","perry",14916
"kentucky","pike",29708
"kentucky","powell",13947
"kentucky","pulaski",42495
"kentucky","robertson",254
"kentucky","rockcastle",6630
"kentucky","rowan",78552
"kentucky","russell",10122
"kentucky","scott",95073
"kentucky","shelby",21641
"kentucky","simpson",8022
"kentucky","spencer",12204
"kentucky","taylor",38473
"kentucky","todd",4020
"kentucky","trigg",9720
"kentucky","trimble",2771
"kentucky","union",3912
"kentucky","warren",163871
"kentucky","washington",4353
"kentucky","wayne",8537
"kentucky","webster",6345
"kentucky","whitley",31637
"kentucky","wolfe",1783
"kentucky","woodford",36849
"louisiana","acadia",38203
"louisiana","allen",5742
"louisiana","ascension",88428
