subregion,region,pop,high,college,income,poppermile,establishments,employees
new london,connecticut,274170,90.1,30.9,67010,412.2,5675,105276
tolland,connecticut,151539,92.4,36.5,80333,372.2,2398,29450
windham,connecticut,117599,85.5,22,60063,230.9,2097,28805
kent,delaware,167626,84.9,20,54783,276.9,3177,48100
new castle,delaware,546076,88.9,32.7,64158,1263.2,15448,251479
sussex,delaware,203390,85.3,21.9,53215,210.6,5313,57764
washington,district of columbia,632323,87.1,50.5,61835,9856.6,21545,477623
alachua,florida,251417,90.3,41.1,41373,282.7,5733,80828
baker,florida,27086,78.4,7.4,47041,46.3,369,5199
bay,florida,171903,87.1,21,48225,222.6,4374,55989
bradford,florida,27049,74.4,8.8,41397,97,438,4242
brevard,florida,547307,90.3,26.4,50068,535,12746,166490
broward,florida,1815137,87.3,29.9,51782,1444.9,55700,596817
calhoun,florida,14723,71.9,7.9,31142,25.8,196,1647
charlotte,florida,162449,88.4,20.9,45112,235.2,3542,32974
citrus,florida,139360,85.2,16.5,38189,242.8,2641,25543
clay,florida,194345,89.9,23.2,59994,315.8,3481,35545
collier,florida,332427,85.3,31.6,56876,160.9,9888,101687
columbia,florida,67966,81.2,13.1,38589,84.7,1325,16999
dade,florida,2591035,77.6,26.2,43957,1315.5,74585,823116
de soto,florida,34712,68.9,11.4,36407,54.7,409,4614
dixie,florida,16126,75.8,8.9,34243,23.3,173,1282
duval,florida,879602,87.5,25.2,49964,1133.9,23144,382633
escambia,florida,302715,87.1,23.3,43707,453.4,6529,96255
flagler,florida,98359,90.1,22,48708,197.1,1733,15813
franklin,florida,11686,79.4,17.6,37017,21.6,298,2052
gadsden,florida,46528,76.3,13.2,33453,89.8,638,8854
gilchrist,florida,16815,81.3,11.4,38467,48.4,196,1349
glades,florida,13107,74,10.3,39611,16,92,865
gulf,florida,15718,77.3,13.3,41291,28.1,305,2029
hamilton,florida,14708,74.8,8.4,36683,28.8,177,2434
hardee,florida,27514,63.2,9.3,38046,43.5,397,4122
hendry,florida,37447,63.5,9.4,37989,34,540,5712
hernando,florida,173422,86,16.2,42700,365.6,2854,29140
highlands,florida,98128,79.3,14.5,34913,97.2,1903,19530
hillsborough,florida,1277746,86,29,50195,1204.9,32023,499099
holmes,florida,19804,72,10.1,33510,41.6,276,1907
indian river,florida,140567,86.9,26.4,46363,274.5,3840,37876
jackson,florida,48968,79.1,13.6,39869,54.2,780,8842
jefferson,florida,14256,81,15.5,42096,24.7,247,1606
lafayette,florida,8804,81.8,10.3,49713,16.3,98,767
lake,florida,303186,87.1,20.1,47509,316.6,6208,66844
lee,florida,645293,87,24.6,49444,788.7,15629,171148
leon,florida,283769,91.2,43.1,45827,413.1,7253,89580
levy,florida,40025,80.7,12.2,35920,36.5,711,5167
liberty,florida,8276,73.2,13.2,40893,10,81,870
madison,florida,18907,76.2,10.9,36557,27.6,308,2688
manatee,florida,333895,86.7,26,48181,434.5,7595,83991
marion,florida,335125,84.8,16.8,40103,209.1,6638,72006
martin,florida,148817,88.7,29.9,53612,269.2,4921,49363
monroe,florida,74809,89.3,27.8,53889,74.3,3487,27579
nassau,florida,74629,86.6,21.8,58933,113,1588,14878
okaloosa,florida,190083,90.7,26.9,54140,194.4,4961,58506
okeechobee,florida,39467,69,10.1,36929,52,729,6231
orange,florida,1202234,86.9,30,49731,1268.5,31565,613870
osceola,florida,287416,84.2,18,46479,202.4,4814,58464
palm beach,florida,1356545,87.1,32.2,52951,670.2,41970,436202
pasco,florida,470391,86.6,19.7,44103,622.2,8378,77738
pinellas,florida,921319,88.3,27,45891,3347.5,26114,341953
polk,florida,616158,82.1,18,44398,334.9,10718,161846
putnam,florida,73263,77.7,12.5,34174,102.2,1273,12735
santa rosa,florida,158512,89.3,25.6,55913,149.6,2432,21329
sarasota,florida,386147,91.1,29.3,49212,682.6,12385,120752
seminole,florida,430838,91.1,34,58908,1367,12335,142151
st johns,florida,202188,92.5,39.3,64153,316.4,4956,45074
st lucie,florida,283866,83.2,17.9,44947,485.7,4827,53587
sumter,florida,101620,85.5,20,44817,170.8,1131,15132
suwannee,florida,43656,80.7,10.1,37775,60.3,658,8202
taylor,florida,22744,77.7,10.8,38005,21.6,402,4682
union,florida,15212,76,10,45645,63.8,134,1826
volusia,florida,496950,87.5,20.8,44169,449.2,11693,126547
wakulla,florida,30818,86.5,17.3,54151,50.8,402,3100
walton,florida,57582,86.2,24.9,46926,53,1716,15483
washington,florida,24892,79.8,12.3,37036,42.7,362,3662
appling,georgia,18368,75.1,9.3,34989,36,382,5359
atkinson,georgia,8284,64.9,8.3,32814,24.7,87,981
bacon,georgia,11198,71.9,8,32065,42.9,217,2500
baker,georgia,3366,81.3,9.7,27255,10.1,25,241
baldwin,georgia,46367,81.3,19,36429,177.3,816,12844
banks,georgia,18316,75.2,11.1,41397,79.3,278,3347
barrow,georgia,70169,79.5,16.1,50604,432.7,1047,12865
bartow,georgia,100661,79.5,16.7,49060,217.9,1823,27488
ben hill,georgia,17538,73.2,12.3,31943,70.5,335,4978
berrien,georgia,19041,72.2,11.3,32512,42.7,278,2927
bibb,georgia,156462,81.5,22.6,37975,622.8,4179,70595
bleckley,georgia,12913,75.3,12.3,35997,60.5,164,2175
brantley,georgia,18587,76.9,4.6,38374,41.6,180,1217
brooks,georgia,15403,79.1,13.9,40186,32.9,203,1990
bryan,georgia,32214,87.8,29,64651,69.3,576,5282
bulloch,georgia,72694,85.8,26.3,33902,104.4,1360,16855
burke,georgia,23125,76.5,9.1,32188,28.2,304,5832
butts,georgia,23524,76.3,8.1,49339,128.3,347,3772
calhoun,georgia,6504,66,9.3,32986,23.9,75,722
camden,georgia,51402,89.3,20.3,51061,82.4,803,8143
candler,georgia,11117,78.2,15.4,37315,45.3,223,2159
carroll,georgia,111580,79.7,18.4,45752,221.5,1932,29544
catoosa,georgia,65046,82.7,17.8,46549,394.3,885,12002
charlton,georgia,13295,65.5,8.7,42307,15.7,145,1637
chatham,georgia,276434,88,29.6,45985,621.7,7065,117852
chattahoochee,georgia,13037,93.6,28.4,49969,45.3,70,1092
chattooga,georgia,25725,68.2,7.8,32224,83,315,4302
cherokee,georgia,221315,89,33.6,66717,508.3,4552,38776
clarke,georgia,120266,84.9,40.7,34151,979.1,2931,43616
clay,georgia,3116,76.9,9.5,24750,16.3,41,
clayton,georgia,265888,82.1,17.8,42936,1832.5,3914,69776
clinch,georgia,6718,69.2,13.9,33143,8.5,121,1652
cobb,georgia,707442,90.5,44,65423,2026.4,18728,288112
coffee,georgia,43170,73.6,11.8,34327,73.7,835,11632
colquitt,georgia,46137,71.7,11.9,33345,83.6,860,11211
columbia,georgia,131627,90.6,34.3,66556,427.6,2136,26653
cook,georgia,16923,71.9,9.9,35306,75.8,313,2661
coweta,georgia,130929,87.2,26.2,61015,288.8,2024,26122
crawford,georgia,12600,77.9,11.7,37746,38.9,102,466
crisp,georgia,23606,76.2,11.5,32616,86,507,6311
dade,georgia,16490,80.3,17.6,41629,95.6,215,2344
dawson,georgia,22422,85.5,21.9,51989,105.9,591,6380
de kalb,georgia,707089,88.3,39.3,51712,2585.7,16003,252081
decatur,georgia,27509,77.2,12.2,31391,46.6,583,6394
dodge,georgia,21329,77.8,13.6,33829,44,336,3662
dooly,georgia,14318,71.4,10.2,30830,38.1,162,1891
dougherty,georgia,94501,80,18.6,32364,287.7,2387,37548
douglas,georgia,133971,86.3,24.2,54763,661.8,2416,32296
early,georgia,10594,76.2,13.5,27645,21.5,215,2639
echols,georgia,3988,62.7,6.9,29476,9.7,20,74
effingham,georgia,53293,85.3,15.8,58935,109.4,680,7083
elbert,georgia,19684,75.8,11.4,32634,57.4,457,4854
emanuel,georgia,22898,73.5,10,30427,33.2,393,4889
evans,georgia,10689,75.9,12.7,38000,60.2,220,3771
fannin,georgia,23492,78.3,14.8,34554,61.2,541,4344
fayette,georgia,107524,93.5,41.7,81498,548.3,3113,36287
floyd,georgia,96177,76.8,18.1,43129,188.9,1927,32780
forsyth,georgia,187928,90.6,42.8,88262,783.5,5055,58013
franklin,georgia,21894,73.5,14,33086,84.5,422,5508
fulton,georgia,977773,90.1,48.1,57582,1748,32776,685868
gilmer,georgia,28190,75.5,14.3,37091,66.3,537,5628
glascock,georgia,3142,73.8,9.9,36275,21.4,25,209
glynn,georgia,81022,86.1,25.9,49828,189.7,2393,29135
gordon,georgia,55766,74.3,13.6,41336,155.1,1006,18012
grady,georgia,25440,73.6,10.5,32091,55,407,3795
greene,georgia,16092,74,18.7,38209,41.3,381,4358
gwinnett,georgia,842046,87.1,34.7,63076,1871.2,20920,285475
habersham,georgia,43520,76.7,18.1,41222,155.5,798,11288
hall,georgia,185416,78,22.1,52050,457.5,3860,59760
hancock,georgia,8996,74.8,13.8,24483,20,75,680
haralson,georgia,28400,71.2,12,38664,102,416,4798
harris,georgia,32550,88.9,27.7,67299,69,377,3590
hart,georgia,25518,77.1,14.9,35685,108.5,387,5047
heard,georgia,11633,69.5,7,39167,40,117,1161
henry,georgia,209053,89.7,25.2,64251,633,3266,41605
houston,georgia,146136,87.5,24.5,55738,372.5,2280,34278
irwin,georgia,9600,76,7.5,40379,26.9,140,1630
jackson,georgia,60571,79.4,17.6,52883,178.1,1136,15519
jasper,georgia,13630,81.9,16.7,44404,37.8,162,1318
jeff davis,georgia,15156,76.4,11.6,35336,45.6,247,3369
jefferson,georgia,16432,72,8.5,29178,32.2,314,3921
jenkins,georgia,9213,68.4,13.5,25467,24,98,708
johnson,georgia,9897,69.9,11.5,31301,32.9,125,1144
jones,georgia,28577,88.8,17.3,51265,72.8,332,2493
lamar,georgia,18057,79,10.9,39684,99.8,227,2341
lanier,georgia,10400,74.1,13.5,40878,54.4,103,901
