"subregion","region","pop","income","ufo2010","ufo2pop"
"jefferson","ohio",68389,39453,2,2.92444691397739e-05
"knox","ohio",60705,48734,3,4.94193229552755e-05
"lake","ohio",229582,55968,6,2.61344530494551e-05
"lawrence","ohio",62109,38639,7,0.000112705082999243
"licking","ohio",167537,54699,10,5.9688307657413e-05
"logan","ohio",45474,47378,2,4.39811760566478e-05
"lorain","ohio",301478,52194,13,4.31208910766291e-05
"lucas","ohio",437998,41949,41,9.36077333686455e-05
"madison","ohio",43053,54366,2,4.64543701948761e-05
"mahoning","ohio",235145,40570,21,8.93065980565183e-05
"marion","ohio",66238,41337,3,4.52912225610677e-05
"medina","ohio",173684,65578,8,4.60606618917114e-05
"meigs","ohio",23593,33708,2,8.47709066248464e-05
"mercer","ohio",40875,51236,1,2.44648318042813e-05
"miami","ohio",103060,51438,10,9.70308558121483e-05
"monroe","ohio",14549,38811,0,0
"montgomery","ohio",534325,44585,11,2.05867215645908e-05
"morgan","ohio",14911,35855,0,0
"morrow","ohio",34938,50252,2,5.72442612628084e-05
"muskingum","ohio",85950,40590,3,3.49040139616056e-05
"noble","ohio",14579,40239,2,0.000137183620275739
"ottawa","ohio",41339,53614,2,4.83804639686495e-05
"paulding","ohio",19295,43683,0,0
"perry","ohio",36015,42860,3,8.32986255726781e-05
"pickaway","ohio",56399,51418,14,0.00024823135161971
"pike","ohio",28480,39669,5,0.000175561797752809
"portage","ohio",161451,51441,14,8.67136158958446e-05
"preble","ohio",41886,48874,5,0.000119371627751516
"putnam","ohio",34198,59378,1,2.9241476109714e-05
"richland","ohio",122673,43098,6,4.89105182069404e-05
"ross","ohio",77429,44577,17,0.000219555980317452
"sandusky","ohio",60510,47277,5,8.26309700875888e-05
"scioto","ohio",78477,33596,18,0.000229366566000229
"seneca","ohio",56018,41761,3,5.35542147166982e-05
"shelby","ohio",49167,50527,3,6.10165354811154e-05
"stark","ohio",374868,45347,26,6.9357747260369e-05
"summit","ohio",540811,48790,26,4.80759452008188e-05
"trumbull","ohio",207406,42441,14,6.75004580388224e-05
"tuscarawas","ohio",92392,42846,1,1.08234479175686e-05
"union","ohio",52715,68279,1,1.89699326567391e-05
"van wert","ohio",28744,45111,1,3.47898691900918e-05
"vinton","ohio",13239,34399,1,7.55344059218974e-05
"warren","ohio",217241,71961,16,7.3650922247642e-05
"washington","ohio",61475,43185,7,0.000113867425782839
"wayne","ohio",114848,49261,7,6.09501253831151e-05
"williams","ohio",37513,44604,2,5.33148508517047e-05
"wood","ohio",128200,53610,13,0.000101404056162246
"wyandot","ohio",22607,47958,0,0
"adair","oklahoma",22286,31038,0,0
"alfalfa","oklahoma",5666,42730,1,0.000176491351923756
"atoka","oklahoma",14007,33919,0,0
"beaver","oklahoma",5591,47386,1,0.000178858880343409
"beckham","oklahoma",23081,45726,4,0.000173302716520081
"blaine","oklahoma",9785,41306,2,0.000204394481349004
"bryan","oklahoma",43399,36661,6,0.000138252033456992
"caddo","oklahoma",29678,37835,3,0.000101084978772154
"canadian","oklahoma",122560,62355,11,8.97519582245431e-05
"carter","oklahoma",48085,39722,4,8.31860247478424e-05
"cherokee","oklahoma",48150,33990,4,8.3073727933541e-05
"choctaw","oklahoma",15182,28039,4,0.000263469898564089
"cimarron","oklahoma",2385,35440,1,0.000419287211740042
"cleveland","oklahoma",265638,53759,16,6.02323462757587e-05
"coal","oklahoma",5963,34217,2,0.000335401643468053
"comanche","oklahoma",126390,45947,12,9.4944220270591e-05
"cotton","oklahoma",6155,46075,2,0.000324939073923639
"craig","oklahoma",14748,41010,0,0
"creek","oklahoma",70651,42940,6,8.49244879761079e-05
"custer","oklahoma",28536,43125,2,7.00869077656294e-05
"delaware","oklahoma",41441,35552,4,9.65227673077387e-05
"dewey","oklahoma",4783,41500,0,0
"ellis","oklahoma",4104,45017,2,0.000487329434697856
"garfield","oklahoma",61189,41688,3,4.9028420140875e-05
"garvin","oklahoma",27297,39171,5,0.000183170311755871
"grady","oklahoma",53118,47456,5,9.41300500771866e-05
"grant","oklahoma",4516,42227,0,0
"greer","oklahoma",6082,38882,0,0
"harmon","oklahoma",2906,31211,1,0.000344115622849277
"harper","oklahoma",3676,44850,0,0
"haskell","oklahoma",12938,37326,0,0
"hughes","oklahoma",13836,33895,1,7.22752240531946e-05
"jackson","oklahoma",26237,41391,2,7.62282273125739e-05
"jefferson","oklahoma",6377,34256,1,0.000156813548690607
"johnston","oklahoma",11003,35789,0,0
"kay","oklahoma",45831,40164,1,2.18192926185333e-05
"kingfisher","oklahoma",15005,52130,3,0.000199933355548151
"kiowa","oklahoma",9310,33068,1,0.000107411385606874
"latimer","oklahoma",11019,42610,0,0
